model,retriever,language,setting_id,dev_reference_variant,devtest_reference_variant,variant,comet22,qe
qwen3-8b,bm25,eng_Latn-plt_Latn,qwen3-8b|bm25|eng_Latn-plt_Latn,revised_keep_higher,original,Rdev/Odevtest,0.5367848133381177,0.4310988222245171
qwen3-8b,bm25,eng_Latn-plt_Latn,qwen3-8b|bm25|eng_Latn-plt_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.535646731497742,0.4310988222245171
qwen3-8b,bm25,eng_Latn-som_Latn,qwen3-8b|bm25|eng_Latn-som_Latn,original,original,Odev/Odevtest,0.5027949254915648,0.4607304064299278
qwen3-8b,bm25,eng_Latn-som_Latn,qwen3-8b|bm25|eng_Latn-som_Latn,original,revised_keep_higher,Odev/Rdevtest,0.4992673177080663,0.4607304064299278
qwen3-8b,bm25,eng_Latn-som_Latn,qwen3-8b|bm25|eng_Latn-som_Latn,revised_keep_higher,original,Rdev/Odevtest,0.5039669507635912,0.4606415156437003
qwen3-8b,bm25,eng_Latn-som_Latn,qwen3-8b|bm25|eng_Latn-som_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.5005330692814745,0.4606415156437003
qwen3-8b,bm25,eng_Latn-swh_Latn,qwen3-8b|bm25|eng_Latn-swh_Latn,original,original,Odev/Odevtest,0.5393160247048842,0.4940560184743093
qwen3-8b,bm25,eng_Latn-swh_Latn,qwen3-8b|bm25|eng_Latn-swh_Latn,original,revised_keep_higher,Odev/Rdevtest,0.537821086793549,0.4940560184743093
qwen3-8b,bm25,eng_Latn-swh_Latn,qwen3-8b|bm25|eng_Latn-swh_Latn,revised_keep_higher,original,Rdev/Odevtest,0.540681565467548,0.4940558815367608
qwen3-8b,bm25,eng_Latn-swh_Latn,qwen3-8b|bm25|eng_Latn-swh_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.5394190563691463,0.4940558815367608
qwen3-8b,bm25,eng_Latn-xho_Latn,qwen3-8b|bm25|eng_Latn-xho_Latn,original,original,Odev/Odevtest,0.5629488596685319,0.4434732340364588
qwen3-8b,bm25,eng_Latn-xho_Latn,qwen3-8b|bm25|eng_Latn-xho_Latn,original,revised_keep_higher,Odev/Rdevtest,0.5627794752243479,0.4434732340364588
qwen3-8b,bm25,eng_Latn-xho_Latn,qwen3-8b|bm25|eng_Latn-xho_Latn,revised_keep_higher,original,Rdev/Odevtest,0.5638593478282921,0.4415927403882558
qwen3-8b,bm25,eng_Latn-xho_Latn,qwen3-8b|bm25|eng_Latn-xho_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.5636507609910645,0.4415927403882558
qwen3-8b,gte,eng_Latn-hau_Latn,qwen3-8b|gte|eng_Latn-hau_Latn,original,original,Odev/Odevtest,0.4456408020005867,0.4125763782163854
